,0
633,12
634,2
635,13
636,6
637,10
638,1
639,12
640,8
641,1
642,3
643,8
644,4
645,3
646,1
647,1
648,6
649,1
650,8
651,2
652,1
653,6
654,7
655,1
656,8
657,1
658,8
659,3
660,8
661,1
662,8
663,14
664,3
665,1
666,2
667,1
668,10
669,8
670,13
671,1
672,8
673,8
674,1
675,8
676,8
677,1
678,6
679,2
680,8
681,1
682,1
683,10
684,1
685,8
686,10
687,8
688,8
689,1
690,13
691,8
692,8
693,12
694,14
695,14
696,8
697,1
698,8
699,10
700,13
701,6
702,8
703,8
704,14
705,10
706,1
707,1
708,1
709,14
710,10
711,2
712,1
713,7
714,9
715,3
716,14
717,1
718,1
719,1
720,3
721,10
722,1
723,13
724,1
725,8
726,3
727,1
728,8
729,10
730,1
731,2
732,3
733,1
734,13
735,8
736,7
737,8
738,8
739,2
740,13
741,1
742,8
743,12
744,1
745,14
746,1
747,10
748,10
749,1
750,1
751,8
752,1
753,2
754,12
755,1
756,7
757,3
758,4
759,2
760,2
761,8
762,1
763,14
764,12
765,2
766,1
767,12
768,1
769,14
770,8
771,3
772,1
773,1
774,7
775,8
776,10
777,1
778,1
779,8
780,8
781,8
782,7
783,10
784,2
785,3
786,1
787,12
788,1
789,8
790,1
791,8
792,13
793,8
794,1
795,1
796,2
797,1
798,2
799,10
800,5
801,7
802,3
803,1
804,1
805,8
806,11
807,1
808,10
809,11
810,1
811,1
812,8
813,14
814,1
815,1
816,8
817,8
818,8
819,2
820,1
821,6
822,8
823,1
824,14
825,3
826,14
827,1
828,10
829,10
830,2
831,2
832,8
833,1
834,1
835,1
836,7
837,10
838,1
839,1
840,1
841,14
842,1
843,1
844,9
845,10
846,2
847,4
848,14
849,14
850,1
851,8
852,10
853,10
854,13
855,8
856,1
857,8
858,2
859,1
860,7
861,8
862,1
863,2
864,8
865,8
866,1
867,3
868,8
869,1
870,1
871,1
872,1
873,1
874,7
875,1
876,1
877,1
878,1
879,13
880,7
881,5
882,3
883,14
884,3
885,1
886,3
887,10
888,8
889,1
890,1
891,2
892,8
893,12
894,10
895,10
896,1
897,2
898,1
899,10
900,8
901,8
902,1
903,3
904,2
905,1
906,8
907,10
908,2
909,1
910,8
911,14
912,1
913,1
914,2
915,2
916,1
917,0
918,10
919,14
920,1
921,10
922,12
923,13
924,8
925,8
926,1
927,8
928,2
929,2
930,1
931,5
932,8
933,1
934,14
935,8
936,10
937,7
938,4
939,13
940,1
941,1
942,2
943,1
944,1
945,2
946,2
947,9
948,10
949,10
950,1
951,2
952,3
953,1
954,10
955,1
956,1
957,8
958,7
959,8
960,1
961,10
962,3
963,2
964,1
965,1
966,8
967,2
968,3
969,1
970,7
971,1
972,6
973,8
974,1
975,1
976,1
977,8
978,3
979,12
980,8
981,7
982,1
983,1
984,1
985,13
986,1
987,7
988,2
989,7
990,1
991,11
992,8
993,13
994,7
995,8
996,9
997,7
998,3
999,5
1000,10
1001,10
1002,1
1003,13
1004,8
1005,4
1006,8
1007,14
1008,3
1009,1
1010,1
1011,8
1012,14
1013,1
1014,8
1015,1
1016,8
1017,8
1018,2
1019,1
1020,1
1021,9
1022,1
1023,8
1024,1
1025,1
1026,2
1027,1
1028,3
1029,12
1030,3
1031,1
1032,9
1033,1
1034,2
1035,1
1036,10
1037,8
1038,10
1039,1
1040,5
1041,3
1042,9
1043,2
1044,13
1045,8
1046,10
1047,2
1048,2
1049,0
1050,1
1051,8
1052,3
1053,1
1054,3
1055,3
1056,7
1057,1
1058,8
1059,1
1060,7
1061,12
1062,1
1063,12
1064,1
1065,2
1066,7
1067,0
1068,8
1069,12
1070,1
1071,1
1072,8
1073,8
1074,1
1075,1
1076,2
1077,10
1078,6
1079,1
1080,1
1081,14
1082,7
1083,1
1084,1
1085,10
1086,8
1087,8
1088,5
1089,6
1090,10
1091,13
1092,1
1093,8
1094,1
1095,8
1096,1
1097,1
1098,8
1099,1
1100,2
1101,1
1102,7
1103,3
1104,1
1105,8
1106,1
1107,1
1108,10
1109,14
1110,14
1111,3
1112,13
1113,2
1114,7
1115,10
1116,1
1117,10
1118,8
1119,1
1120,8
1121,1
1122,7
1123,14
1124,7
1125,2
1126,2
1127,1
1128,1
1129,10
1130,14
1131,8
1132,10
1133,1
1134,2
1135,2
1136,8
1137,10
1138,3
1139,1
1140,8
1141,8
1142,1
1143,13
1144,8
1145,10
1146,13
1147,9
1148,8
1149,1
1150,14
1151,7
1152,9
1153,1
1154,3
1155,1
1156,1
1157,6
1158,1
1159,10
1160,8
1161,7
1162,1
1163,11
1164,8
1165,1
1166,3
1167,7
1168,1
1169,1
1170,8
1171,1
1172,2
1173,1
1174,10
1175,2
1176,13
1177,7
1178,4
1179,1
1180,7
1181,1
1182,1
1183,9
1184,1
1185,4
1186,1
1187,7
1188,8
1189,1
1190,6
1191,1
1192,1
1193,3
1194,8
1195,14
1196,1
1197,1
1198,3
1199,10
1200,1
1201,8
1202,12
1203,2
1204,1
1205,1
1206,1
1207,2
1208,8
1209,10
1210,10
1211,1
1212,1
1213,1
1214,3
1215,12
1216,6
1217,3
1218,10
1219,8
1220,1
1221,2
1222,1
1223,1
1224,2
1225,2
1226,1
1227,1
1228,1
1229,3
1230,3
1231,10
1232,9
1233,1
1234,10
1235,1
1236,7
1237,10
1238,3
1239,3
1240,8
1241,10
1242,14
1243,7
1244,1
1245,1
1246,6
1247,1
1248,14
1249,9
1250,12
1251,1
1252,2
1253,7
1254,1
1255,2
1256,10
1257,4
1258,3
1259,10
1260,10
1261,13
1262,1
1263,2
1264,2
1265,7
1266,1
1267,1
1268,13
1269,1
1270,1
1271,8
1272,1
1273,2
1274,9
1275,2
1276,1
1277,13
1278,1
1279,3
1280,2
1281,1
1282,10
1283,14
1284,2
1285,10
1286,9
1287,9
1288,7
1289,1
1290,9
1291,9
1292,10
1293,1
1294,1
1295,7
1296,1
1297,8
1298,12
1299,10
1300,1
1301,8
1302,10
1303,9
1304,3
1305,1
1306,1
1307,3
1308,3
1309,8
1310,1
1311,7
1312,3
1313,8
1314,8
1315,10
1316,7
1317,1
1318,12
1319,3
1320,14
1321,7
1322,12
1323,1
1324,1
1325,1
1326,1
1327,10
1328,8
1329,1
1330,5
1331,1
1332,0
1333,10
1334,9
1335,1
1336,2
1337,7
1338,4
1339,10
1340,2
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,8
1348,8
1349,1
1350,2
1351,12
1352,8
1353,2
1354,1
1355,1
1356,2
1357,0
1358,3
1359,8
1360,3
1361,1
1362,9
1363,1
1364,4
1365,12
1366,5
1367,5
1368,3
1369,8
1370,7
1371,10
1372,14
1373,1
1374,2
1375,3
1376,12
1377,1
1378,8
1379,2
1380,12
1381,8
1382,3
1383,1
1384,2
1385,1
1386,8
1387,8
1388,1
1389,1
1390,6
1391,1
1392,7
1393,1
1394,13
1395,7
1396,8
1397,8
1398,8
1399,3
1400,3
1401,1
1402,3
1403,10
1404,8
1405,3
1406,8
1407,1
1408,1
1409,10
1410,2
1411,2
1412,3
1413,1
1414,1
1415,12
1416,7
1417,7
1418,7
1419,1
1420,1
1421,8
1422,5
1423,10
1424,8
1425,2
1426,2
1427,4
1428,1
1429,3
1430,2
1431,8
1432,10
1433,1
1434,8
1435,1
1436,8
1437,8
1438,1
1439,10
1440,8
1441,2
1442,2
1443,1
1444,2
1445,2
1446,1
1447,1
1448,1
1449,1
1450,10
1451,2
1452,1
1453,1
1454,2
1455,3
1456,9
1457,1
1458,1
1459,8
1460,13
1461,1
1462,3
1463,10
1464,11
1465,11
1466,10
1467,13
1468,1
1469,10
1470,2
1471,1
1472,1
1473,2
1474,3
1475,8
1476,14
1477,8
1478,1
1479,12
1480,1
1481,2
1482,13
1483,14
1484,1
1485,1
1486,8
1487,12
1488,8
1489,1
1490,4
1491,8
1492,7
1493,7
1494,8
1495,8
1496,1
1497,3
1498,3
1499,1
1500,1
1501,10
1502,2
1503,1
1504,1
1505,1
1506,10
1507,7
1508,3
1509,10
1510,8
1511,2
1512,2
1513,8
1514,1
1515,7
1516,3
1517,9
1518,10
1519,3
1520,5
1521,3
1522,1
1523,13
1524,10
1525,1
1526,1
1527,1
1528,11
1529,2
1530,9
1531,2
1532,1
1533,1
1534,5
1535,10
1536,1
1537,3
1538,1
1539,10
1540,8
1541,2
1542,1
1543,8
1544,1
1545,3
1546,2
1547,1
1548,1
1549,1
1550,1
1551,1
1552,10
1553,10
1554,2
1555,2
1556,2
1557,2
1558,1
1559,11
1560,7
1561,1
1562,10
1563,7
1564,8
1565,2
1566,1
1567,10
1568,1
1569,10
1570,1
1571,10
1572,2
1573,10
1574,1
1575,8
1576,1
1577,1
1578,6
1579,1
1580,7
1581,7
1582,10
1583,8
1584,1
1585,6
1586,9
1587,1
1588,8
1589,13
1590,1
1591,3
1592,13
1593,8
1594,1
1595,8
1596,3
1597,7
1598,8
1599,10
1600,13
1601,10
1602,14
1603,2
1604,2
1605,13
1606,1
1607,11
1608,14
1609,10
1610,13
1611,5
1612,10
1613,3
1614,2
1615,1
1616,2
1617,9
1618,2
1619,1
1620,10
1621,2
1622,14
1623,14
1624,2
1625,2
1626,1
1627,1
1628,13
1629,1
1630,1
1631,1
1632,13
1633,1
1634,10
1635,1
1636,1
1637,10
1638,10
1639,8
1640,1
1641,1
1642,8
1643,7
1644,1
1645,10
1646,2
1647,7
1648,9
1649,2
1650,7
1651,1
1652,14
1653,1
1654,8
1655,10
1656,3
1657,1
1658,10
1659,14
1660,1
1661,7
1662,1
1663,8
1664,1
1665,8
1666,13
1667,9
1668,2
1669,8
1670,2
1671,7
1672,10
1673,2
1674,1
1675,8
1676,6
1677,9
1678,1
1679,10
1680,9
1681,10
1682,1
1683,1
1684,8
1685,1
1686,8
1687,1
1688,9
1689,5
1690,8
1691,1
1692,13
1693,2
1694,11
1695,8
1696,13
1697,3
1698,7
1699,1
1700,10
1701,3
1702,1
1703,2
1704,10
1705,7
1706,10
1707,3
1708,1
1709,2
1710,13
1711,13
1712,1
1713,1
1714,8
1715,13
1716,8
1717,3
1718,2
1719,1
1720,10
1721,1
1722,7
1723,2
1724,8
1725,1
1726,2
1727,13
1728,1
1729,13
1730,10
1731,1
1732,2
1733,1
1734,1
1735,10
1736,3
1737,1
1738,1
1739,9
1740,2
1741,3
1742,12
1743,1
1744,1
1745,1
1746,1
1747,1
1748,10
1749,1
1750,8
1751,2
1752,3
1753,9
1754,2
1755,1
1756,2
1757,1
1758,10
1759,12
1760,1
1761,2
1762,12
1763,13
1764,8
1765,3
1766,10
1767,1
1768,1
1769,1
1770,10
1771,12
1772,8
1773,2
1774,1
1775,1
1776,2
1777,9
1778,1
1779,10
1780,2
1781,8
1782,10
1783,8
1784,2
1785,9
1786,14
1787,8
1788,8
1789,0
1790,2
1791,10
1792,8
1793,8
1794,10
1795,8
1796,7
1797,13
1798,1
1799,8
1800,10
1801,2
1802,10
1803,3
1804,1
1805,12
1806,1
1807,1
1808,13
1809,1
1810,8
1811,8
1812,3
1813,7
1814,8
1815,1
1816,2
1817,7
1818,10
1819,3
1820,8
1821,12
1822,1
1823,7
1824,8
1825,1
1826,2
1827,10
1828,10
1829,3
1830,8
1831,2
1832,9
1833,10
1834,8
1835,13
1836,10
1837,1
1838,1
1839,3
1840,1
1841,8
1842,13
1843,14
1844,10
1845,1
1846,1
1847,1
1848,1
1849,1
1850,12
1851,10
1852,1
1853,1
1854,8
1855,9
1856,13
1857,7
1858,12
1859,1
1860,2
1861,1
1862,5
1863,5
1864,1
1865,8
1866,2
1867,13
1868,8
1869,10
1870,7
1871,1
1872,2
1873,2
1874,1
1875,2
1876,10
1877,2
1878,12
1879,9
1880,7
1881,9
1882,3
1883,8
1884,2
1885,10
1886,12
1887,10
1888,3
1889,8
1890,3
1891,8
1892,2
1893,10
1894,1
1895,10
1896,1
1897,1
1898,1
1899,1
1900,7
1901,0
1902,10
1903,8
1904,2
1905,2
1906,1
1907,7
1908,10
1909,10
1910,14
1911,8
1912,1
1913,3
1914,1
1915,2
1916,10
1917,9
1918,10
1919,2
1920,3
1921,8
1922,1
1923,7
1924,10
1925,2
1926,12
1927,13
1928,6
1929,9
1930,1
1931,10
1932,1
1933,1
1934,10
1935,10
1936,3
1937,3
1938,7
1939,2
1940,12
1941,10
1942,1
1943,8
1944,1
1945,1
1946,8
1947,10
1948,2
1949,8
1950,2
1951,10
1952,13
1953,1
1954,7
1955,1
1956,13
1957,1
1958,8
1959,1
1960,14
1961,1
1962,2
1963,1
1964,2
1965,9
1966,13
1967,2
1968,1
1969,1
1970,1
1971,1
1972,1
1973,3
1974,3
1975,1
1976,1
1977,8
1978,7
1979,9
1980,1
1981,1
1982,1
1983,3
1984,1
1985,10
1986,1
1987,1
1988,1
1989,10
1990,2
1991,14
1992,1
1993,7
1994,5
1995,4
1996,3
1997,10
1998,1
1999,8
2000,1
2001,7
2002,10
2003,8
2004,7
2005,3
2006,3
2007,8
2008,10
2009,12
2010,1
2011,3
2012,1
2013,8
2014,1
2015,8
2016,2
2017,3
2018,7
2019,10
2020,10
2021,7
2022,5
2023,12
2024,10
2025,8
2026,10
2027,7
2028,2
2029,1
2030,1
2031,2
2032,0
2033,10
2034,1
2035,2
2036,7
2037,8
2038,10
2039,10
2040,13
2041,10
2042,10
2043,3
2044,10
2045,10
2046,1
2047,2
2048,1
2049,7
2050,8
2051,3
2052,2
2053,10
2054,2
2055,10
2056,1
2057,1
2058,5
2059,2
2060,14
2061,3
2062,8
2063,2
2064,3
2065,2
2066,1
2067,1
2068,7
2069,10
2070,10
2071,3
2072,14
2073,8
2074,9
2075,5
2076,8
2077,1
2078,1
2079,1
2080,13
2081,2
2082,2
2083,10
2084,8
2085,10
2086,8
2087,1
2088,1
2089,10
2090,14
2091,10
2092,2
2093,10
2094,3
2095,8
2096,2
2097,10
2098,2
2099,8
2100,10
2101,10
2102,2
2103,2
2104,7
2105,10
2106,2
2107,8
2108,9
2109,13
2110,1
2111,8
2112,1
2113,1
2114,7
2115,10
2116,7
2117,10
2118,13
2119,2
2120,7
2121,1
2122,10
2123,2
2124,12
2125,1
2126,0
2127,13
2128,1
2129,8
2130,10
2131,3
2132,9
2133,2
2134,10
2135,1
2136,1
2137,2
2138,2
2139,1
2140,13
2141,10
2142,10
2143,1
2144,1
2145,5
2146,1
2147,8
2148,1
2149,12
2150,1
2151,9
2152,2
2153,1
2154,1
2155,10
2156,3
2157,12
2158,10
2159,1
2160,1
2161,2
2162,2
2163,1
2164,3
2165,2
2166,6
2167,7
2168,13
2169,10
2170,2
2171,12
2172,1
2173,8
2174,2
2175,7
2176,13
2177,1
2178,2
2179,2
2180,10
2181,2
2182,2
2183,7
2184,10
2185,2
2186,3
2187,1
2188,10
2189,10
2190,1
2191,2
2192,1
2193,10
2194,1
2195,8
2196,10
2197,8
2198,1
2199,9
2200,1
2201,10
2202,1
2203,10
2204,1
2205,2
2206,3
2207,2
2208,8
2209,1
2210,8
2211,11
2212,8
2213,12
2214,8
2215,3
2216,8
2217,9
2218,7
2219,2
2220,2
2221,10
2222,1
2223,2
2224,8
2225,3
2226,1
2227,5
2228,1
2229,7
2230,1
2231,2
2232,1
2233,6
2234,3
2235,10
2236,1
2237,1
2238,8
2239,3
2240,7
2241,10
2242,8
2243,8
2244,1
2245,3
2246,7
2247,10
2248,7
2249,8
2250,2
2251,1
2252,13
2253,14
2254,2
2255,8
2256,8
2257,2
2258,10
2259,1
2260,8
2261,10
2262,3
2263,3
2264,1
2265,10
2266,12
2267,2
2268,1
2269,10
2270,10
2271,10
2272,12
2273,7
2274,1
2275,1
2276,13
2277,1
2278,8
2279,12
2280,8
2281,4
2282,3
2283,2
2284,2
2285,4
2286,1
2287,12
2288,2
2289,2
2290,5
2291,10
2292,1
2293,8
2294,8
2295,10
2296,3
2297,9
2298,2
2299,8
2300,1
2301,10
2302,5
2303,2
2304,2
2305,7
2306,12
2307,1
2308,12
2309,12
2310,7
2311,2
2312,10
2313,14
2314,2
2315,8
2316,10
2317,9
2318,10
2319,2
2320,5
2321,8
2322,1
2323,4
2324,10
2325,7
2326,1
2327,1
2328,3
2329,14
2330,1
2331,13
2332,3
2333,1
2334,1
2335,3
2336,1
2337,5
2338,2
2339,14
2340,10
2341,8
2342,14
2343,1
2344,1
2345,9
2346,1
2347,8
2348,8
2349,2
2350,10
2351,14
2352,1
2353,7
2354,12
2355,1
2356,1
2357,1
2358,1
2359,14
2360,3
2361,1
2362,5
2363,14
2364,3
2365,1
2366,1
2367,10
2368,10
2369,2
2370,1
2371,1
2372,8
2373,10
2374,13
2375,14
2376,8
2377,1
2378,1
2379,3
2380,8
2381,3
2382,9
2383,1
2384,8
2385,2
2386,1
2387,1
2388,2
2389,12
2390,1
2391,5
2392,1
2393,2
2394,1
2395,2
2396,2
2397,1
2398,2
2399,1
2400,10
2401,10
2402,2
2403,10
2404,8
2405,2
2406,3
2407,3
2408,3
2409,2
2410,1
2411,10
2412,7
2413,14
2414,10
2415,9
2416,10
2417,2
2418,10
2419,8
2420,8
2421,3
2422,7
2423,1
2424,10
2425,7
2426,2
2427,2
2428,1
2429,8
2430,3
2431,2
2432,12
2433,10
2434,8
2435,1
2436,8
2437,2
2438,1
2439,9
2440,8
2441,8
2442,14
2443,3
2444,13
2445,12
2446,8
2447,10
2448,7
2449,7
2450,2
2451,3
2452,10
2453,10
2454,10
2455,1
2456,10
2457,10
2458,3
2459,10
2460,1
2461,2
2462,1
2463,7
2464,8
2465,10
2466,2
2467,3
2468,1
2469,8
2470,1
2471,1
2472,1
2473,2
2474,1
2475,8
2476,2
2477,1
2478,10
2479,12
2480,10
2481,3
2482,8
2483,3
2484,1
2485,13
2486,1
2487,2
2488,8
2489,7
2490,1
2491,13
2492,1
2493,3
2494,12
2495,3
2496,10
2497,3
2498,10
2499,2
2500,13
2501,1
2502,1
2503,8
2504,2
2505,2
2506,1
2507,2
2508,3
2509,10
2510,2
2511,8
2512,10
2513,10
2514,7
2515,2
2516,2
2517,8
2518,14
2519,7
2520,10
2521,8
2522,10
2523,1
2524,9
2525,2
2526,2
2527,8
2528,10
2529,1
2530,1
2531,10
2532,8
2533,7
2534,9
2535,3
2536,13
2537,4
2538,1
2539,8
2540,10
2541,10
2542,8
2543,1
2544,2
2545,4
2546,8
2547,1
2548,6
2549,8
2550,7
2551,2
2552,2
2553,1
2554,3
2555,8
2556,10
2557,13
2558,8
2559,10
2560,13
2561,1
2562,2
2563,9
2564,8
2565,8
2566,13
2567,1
2568,10
2569,3
2570,2
2571,1
2572,2
2573,1
2574,8
2575,3
2576,2
2577,2
2578,1
2579,1
2580,2
2581,1
2582,9
2583,8
2584,1
2585,2
2586,10
2587,10
2588,10
2589,1
2590,7
2591,10
2592,10
2593,2
2594,1
2595,8
2596,13
2597,7
2598,2
2599,8
2600,5
2601,1
2602,1
2603,1
2604,7
2605,1
2606,8
2607,3
2608,1
2609,7
2610,10
2611,1
2612,8
2613,10
2614,8
2615,8
2616,8
2617,9
2618,2
2619,7
2620,10
2621,10
2622,3
2623,8
2624,3
2625,7
2626,1
2627,1
2628,1
2629,7
2630,8
2631,8
2632,2
2633,10
2634,3
2635,2
2636,1
2637,8
2638,1
2639,10
2640,1
2641,10
2642,1
2643,8
2644,2
2645,1
2646,8
2647,7
2648,1
2649,8
2650,1
2651,9
2652,10
2653,1
2654,1
2655,8
2656,10
2657,7
2658,0
2659,1
2660,10
2661,6
2662,10
2663,8
2664,2
2665,1
2666,13
2667,2
2668,10
2669,2
2670,1
2671,8
2672,13
2673,1
2674,2
2675,2
2676,1
2677,1
2678,2
2679,1
2680,12
2681,1
2682,10
2683,10
2684,1
2685,4
2686,10
2687,1
2688,12
2689,7
2690,1
2691,1
2692,14
2693,5
2694,8
2695,2
2696,8
2697,8
2698,2
2699,10
2700,3
2701,7
2702,3
2703,1
2704,10
2705,1
2706,1
2707,2
2708,10
2709,1
2710,1
2711,10
2712,13
2713,13
2714,1
2715,8
2716,8
2717,2
2718,3
2719,3
2720,2
2721,12
2722,10
2723,1
2724,14
2725,1
2726,1
2727,2
2728,7
2729,3
2730,2
2731,12
2732,1
2733,8
2734,1
2735,3
2736,14
2737,7
2738,2
2739,0
2740,14
2741,12
2742,5
2743,2
2744,8
2745,8
2746,1
2747,10
2748,12
2749,10
2750,2
2751,8
2752,2
2753,1
2754,6
2755,1
2756,9
2757,2
2758,3
2759,7
2760,1
2761,14
2762,1
2763,6
2764,2
2765,1
2766,8
2767,2
2768,12
2769,10
2770,2
2771,2
2772,2
2773,1
2774,2
2775,1
2776,1
2777,1
2778,2
2779,2
2780,1
2781,8
2782,1
2783,3
2784,1
2785,1
2786,1
2787,13
2788,1
2789,1
2790,3
2791,1
2792,2
2793,5
2794,2
2795,1
2796,10
2797,8
2798,2
2799,1
2800,9
2801,2
2802,13
2803,1
2804,13
2805,2
2806,1
2807,10
2808,7
2809,2
2810,8
2811,10
2812,1
2813,13
2814,1
2815,10
2816,1
2817,8
2818,2
2819,1
2820,10
2821,2
2822,8
2823,3
2824,1
2825,8
2826,10
2827,1
2828,10
2829,8
2830,10
2831,7
2832,9
2833,7
2834,1
2835,14
2836,10
2837,1
2838,1
2839,1
2840,7
2841,7
2842,1
2843,10
2844,2
2845,10
2846,1
2847,10
2848,7
2849,10
2850,8
2851,8
2852,1
2853,10
2854,3
2855,1
2856,8
2857,7
2858,2
2859,1
2860,10
2861,8
2862,3
2863,3
2864,7
2865,1
2866,13
2867,8
2868,1
2869,1
2870,14
2871,12
2872,1
2873,10
2874,8
2875,12
2876,1
2877,8
2878,8
2879,12
2880,2
2881,1
2882,1
2883,2
2884,8
2885,8
2886,9
2887,10
2888,10
2889,9
2890,1
2891,5
2892,10
2893,1
2894,2
2895,1
2896,10
2897,8
2898,2
2899,3
2900,8
2901,1
2902,10
2903,14
2904,10
2905,12
2906,8
2907,3
2908,3
2909,8
2910,1
2911,1
2912,10
2913,6
2914,10
2915,2
2916,14
2917,14
2918,1
2919,7
2920,10
2921,10
2922,13
2923,8
2924,10
2925,1
2926,10
2927,8
2928,8
2929,1
2930,3
2931,10
2932,2
2933,8
2934,10
2935,3
2936,2
2937,14
2938,1
2939,13
2940,2
2941,1
2942,10
2943,2
2944,2
2945,1
2946,2
2947,7
2948,10
2949,13
2950,1
2951,6
2952,1
2953,7
2954,2
2955,10
2956,1
2957,7
2958,10
2959,4
2960,1
2961,14
2962,8
2963,1
2964,13
2965,2
2966,14
2967,12
2968,14
2969,2
2970,2
2971,8
2972,10
2973,10
2974,12
2975,7
2976,12
2977,11
2978,8
2979,10
2980,13
2981,8
2982,2
2983,2
2984,1
2985,1
2986,3
2987,8
2988,1
2989,10
2990,1
2991,1
2992,14
2993,14
2994,10
2995,1
2996,1
2997,10
